significant_wave_height,mean_wave_height,max_wave_height,rms_wave_height,n_waves,mean_period,position
0.24243541404999996,0.23978312168333332,0.26863128999999997,0.2398282494306872,60,7.968333333333334,5.0
0.23219973163157898,0.2265230349322034,0.27819767,0.22674815802490372,59,7.9983050847457635,20.0
0.43268235894736834,0.4234429305932203,0.43502246,0.4250490003206021,59,7.991525423728813,30.0
0.2824098638947368,0.20633029792241378,0.288414191,0.21975382993156278,116,4.029310344827586,50.0
0.38714013373684214,0.2883561514385965,0.400851497,0.30461319180730995,114,4.031578947368422,70.0
0.13190431878947373,0.13136310996491227,0.13222188099999999,0.1314098873739409,57,8.010526315789473,72.3
0.03603806878947369,0.035952726368421055,0.036040137,0.035954237025158944,57,8.021052631578947,74.6
0.033146091789473676,0.033097110035087716,0.033744149,0.033097275349377786,57,8.022807017543858,80.0
0.03445922588888889,0.03438565610714286,0.034460323,0.03438720841750574,56,8.026785714285714,90.0
0.03483287811111111,0.03475864039285714,0.034842958,0.03476045673976962,56,8.028571428571428,100.0
