significant_wave_height,mean_wave_height,max_wave_height,rms_wave_height,n_waves,mean_period,position
0.2477569875,0.24714147266666667,0.25275052,0.24714312734025184,60,7.985,5.0
0.27397598684210533,0.27272824457627115,0.27804087,0.2728006367008451,59,7.998305084745763,20.0
0.3146061194736842,0.31206374711864404,0.32543191,0.31242999326771953,59,8.005084745762712,30.0
0.2669548049473685,0.2047361947241379,0.266991628,0.21395124630229292,116,4.028448275862069,50.0
0.3066884672894737,0.22595440478070175,0.312188973,0.23975720608567094,114,4.037719298245614,70.0
0.29954313318421055,0.21984217550000001,0.30974762100000003,0.23369809660372118,114,4.03859649122807,72.3
0.30172272623684215,0.22032913554385963,0.304982025,0.23475267136534197,114,4.040350877192982,74.6
0.28605002362162163,0.21490921149557524,0.290740508,0.22610243668233568,113,4.045132743362832,80.0
0.28915128394594597,0.22139086134513275,0.295990392,0.23128153986587985,113,4.046017699115045,90.0
0.28395342005405405,0.21287874581249996,0.294947012,0.22430303518358008,112,4.051785714285714,100.0
