significant_wave_height,mean_wave_height,max_wave_height,rms_wave_height,n_waves,mean_period,position
0.24240493819999998,0.23974496750000002,0.26863429,0.2397903079888912,60,7.968333333333334,5.0
0.23219328521052632,0.22651066208474577,0.27819786,0.22673588303664377,59,7.996610169491525,20.0
0.4328096242105264,0.4235616222881356,0.43514213,0.4251695823376419,59,7.991525423728813,30.0
0.28246835078947363,0.20634304894827585,0.288457095,0.2197798053445316,116,4.029310344827586,50.0
0.38718310960526314,0.28839598594736837,0.400896516,0.304651820164199,114,4.031578947368422,70.0
0.13155140726315792,0.1310147766140351,0.131866138,0.13106075926360491,57,8.010526315789473,72.3
0.035981069,0.035896197473684215,0.035982838,0.0358977166093012,57,8.021052631578948,74.6
0.03308928094736842,0.03304053443859649,0.03368759,0.03304069959711451,57,8.022807017543858,80.0
0.03439005083333333,0.03431707469642857,0.034391813,0.03431860603978658,56,8.026785714285714,90.0
0.034749124944444446,0.03467619085714286,0.034760346,0.0346779612913439,56,8.028571428571428,100.0
